data name,rate,origin shape,origin range,filtered shape,filtered range,expr min,expr max,end idx
10X270_1_matrix.h5,0.0976,"(5635, 20408)",3781.0,"(550, 20408)",658.0,673,8643,57428707
10X393_3_matrix.h5,0.1603,"(6327, 20624)",4398.0,"(1014, 20624)",602.0,589,8353,57429721
10X390_5_matrix.h5,0.763,"(3451, 19634)",5195.0,"(2633, 19634)",588.0,446,7469,57432354
10X216_5_matrix.h5,0.1342,"(5565, 20151)",2872.0,"(747, 20151)",635.0,565,8539,57433101
10X277_3_matrix.h5,0.0989,"(4642, 20476)",3590.0,"(459, 20476)",636.0,698,8265,57433560
10X359_2_matrix.h5,0.6756,"(1039, 18473)",3283.0,"(702, 18473)",358.0,653,7322,57434262
10X174_5_matrix.h5,0.0661,"(7221, 21004)",5361.0,"(477, 21004)",533.0,690,9830,57434739
10X353_6_matrix.h5,0.2033,"(5072, 20169)",2189.0,"(1031, 20169)",699.0,603,6951,57435770
10X248_2_matrix.h5,0.0965,"(4021, 19978)",3670.0,"(388, 19978)",608.0,662,7370,57436158
10X357_5_matrix.h5,0.1465,"(5447, 20195)",3091.0,"(798, 20195)",859.0,568,6951,57436956
10X377_7_matrix.h5,0.6102,"(2227, 19112)",2675.0,"(1359, 19112)",540.0,517,6997,57438315
10X194_6_matrix.h5,0.4161,"(7013, 20897)",6088.0,"(2918, 20897)",410.0,473,10268,57441233
10X205_8_matrix.h5,0.173,"(7353, 20830)",3360.0,"(1272, 20830)",705.0,799,9955,57442505
10X206_4_matrix.h5,0.407,"(7891, 20609)",6244.0,"(3212, 20609)",681.0,605,9899,57445717
10X381_1_matrix.h5,0.6215,"(2571, 18569)",2203.0,"(1598, 18569)",1304.0,442,4305,57447315
10X182_1_matrix.h5,0.0763,"(5504, 20937)",4110.0,"(420, 20937)",558.0,696,9491,57447735
10X224_2_matrix.h5,0.6392,"(10910, 20067)",4721.0,"(6974, 20067)",674.0,688,10375,57454709
10X227_4_matrix.h5,0.3203,"(6966, 20823)",8714.0,"(2231, 20823)",1059.0,434,9754,57456940
