,idx
AICDA,532
AIDA,533
AIF1,534
AIF1L,535
AIFM1,536
AIFM2,537
AIFM3,538
AIG1,539
AIM2,540
AIMP1,541
AIMP2,542
AIP,543
AIPL1,544
AIRE,545
AIRN,546
AJAP1,547
AJM1,548
AJUBA,549
AJUBA-DT,550
AK1,551
AK2,552
AK3,553
AK4,554
AK5,555
AK6,556
AK7,557
AK8,558
AK9,559
AKAIN1,560
AKAP1,561
AKAP1-DT,562
AKAP2,563
AKAP3,564
AKAP4,565
AKAP5,566
AKAP6,567
AKAP7,568
AKAP8,569
AKAP8L,570
AKAP9,571
AKAP10,572
AKAP11,573
AKAP12,574
AKAP13,575
AKAP13-AS1,576
AKAP14,577
AKAP17A,578
AKIP1,579
AKIRIN1,580
AKIRIN2,581
AKNA,582
AKNAD1,583
AKR1A1,584
AKR1B1,585
AKR1B10,586
AKR1B15,587
AKR1C1,588
AKR1C2,589
AKR1C3,590
AKR1C4,591
AKR1C8,592
AKR1D1,593
AKR1E2,594
AKR7A2,595
AKR7A3,596
AKR7L,597
AKT1,598
AKT1S1,599
AKT2,600
AKT3,601
AKT3-IT1,602
AKTIP,603
ALAD,604
ALAS1,605
ALAS2,606
ALB,607
ALCAM,608
ALDH1A1,609
ALDH1A2,610
ALDH1A2-AS1,611
ALDH1A3,612
ALDH1A3-AS1,613
ALDH1B1,614
ALDH1L1,615
ALDH1L1-AS1,616
ALDH1L1-AS2,617
ALDH1L2,618
ALDH2,619
ALDH3A1,620
ALDH3A2,621
ALDH3B1,622
ALDH3B2,623
ALDH4A1,624
ALDH5A1,625
ALDH6A1,626
ALDH7A1,627
ALDH8A1,628
ALDH9A1,629
ALDH16A1,630
ALDH18A1,631
ALDOA,632
ALDOB,633
ALDOC,634
ALG1,635
ALG1L2,636
ALG2,637
ALG3,638
ALG5,639
ALG6,640
ALG8,641
ALG9,642
ALG9-IT1,643
ALG10,644
ALG10B,645
ALG11,646
ALG12,647
ALG13,648
ALG13-AS1,649
ALG14,650
ALG14-AS1,651
ALK,652
ALKAL1,653
ALKAL2,654
ALKBH1,655
ALKBH2,656
ALKBH3,657
ALKBH3-AS1,658
ALKBH4,659
ALKBH5,660
ALKBH6,661
ALKBH7,662
ALKBH8,663
